,42.5,47.5,52.5,57.5,62.5,67.5,72.5,77.5,82.5,87.5,92.5,97.5,102.5,107.5,112.5,117.5,122.5,127.5,132.5,137.5,142.5,147.5,152.5,157.5,162.5,167.5,172.5,177.5
a03ws,2.65e-05,0.0027078,0.0078164,0.0066686,0.00612,0.0072704,0.0085691,0.0098486,0.0111073,0.012178,0.0129026,0.0129786,0.0129791,0.0123956,0.0115247,0.0104457,0.009479,0.0081615,0.0072568,0.0063089,0.0054865,0.0047083,0.0039467,0.003218,0.0025829,0.0018058,0.0011166,0.0003899
a99SBdisp,1.22e-05,0.0018493,0.0075184,0.0070166,0.0067805,0.0076395,0.0090115,0.010069,0.0112425,0.0121534,0.0124323,0.0128546,0.0127254,0.0123854,0.0114012,0.0103712,0.0093901,0.0081525,0.0070879,0.0063082,0.0055195,0.0048508,0.0040284,0.0033587,0.0025211,0.0018564,0.0010809,0.0003827
C36m,3.7e-05,0.0029145,0.0094847,0.0095914,0.0089252,0.0092721,0.0098686,0.0101879,0.0106054,0.0107758,0.0108559,0.0108344,0.0106872,0.0102887,0.0097851,0.0092514,0.0087479,0.0080171,0.0072812,0.0066382,0.0059341,0.0051585,0.0044794,0.0037228,0.0029223,0.0021132,0.0012145,0.0004054
